learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  
CSPS-CFR  0.0904878  0.0499171  0.219749  0.217349  -0.0718422  0.109929  -0.0379781  0.130505  -0.174324  0.0497501  
CFPS-CFR  0.0915086  0.0618113  0.183051  0.168953  0.186264  0.076052  0.0361507  0.0362117  -0.170217  0.0415303  
CFPS-CFR_EX+IN  0.0914701  0.0564874  0.186329  0.182784  0.12961  0.0806535  0.0193884  0.0131812  -0.169772  0.1  
TIPS-CFR_EX+IN  0.088948  0.0510142  0.2829  0.218728  0.12676  0.204681  0.00688765  0.0998682  -0.165471  0.1  
BR  0.164464  0.192663  0.650773  0.258333  0.248703  0.235148  0.163429  0.293403  0.187198  0.281777  
t = 15
CFR  0.0592242  0.0252562  0.205727  0.19779  0.0885163  0.0907785  0.00877622  0.079046  -0.0639705  0.1  
CFR_EX+IN  0.0711036  0.0708137  0.216012  0.204746  0.160778  0.0909385  0.00634401  0.0849742  -0.03582  0.1  
CFR_IN  0.0681607  0.0714242  0.182536  0.207451  0.156752  0.0955613  0.0194555  0.100972  0.00432025  0.0304552  
A-CFR_IN  0.0737209  0.0746188  0.137048  0.1  0.0110447  0.079171  0.0460897  0.0666  -0.092224  0.0173994  
BPS-CFR  0.0544251  0.0223593  0.269777  0.202677  0.0821405  0.112048  0.0156519  0.133881  -0.0691933  0.1  
TIPS-CFR  0.0654255  0.0667423  0.293429  0.220283  0.154234  0.126269  0.0302414  0.17373  -0.0317152  0.111908  
CSPS-CFR  0.0671122  0.06733  0.353772  0.239295  0.0941797  0.16379  -0.0779059  0.224652  -0.0288299  0.1  
CFPS-CFR  0.0675846  0.0716426  0.316887  0.200968  0.155425  0.103697  0.0188102  0.140468  0.0527179  0.0275541  
CFPS-CFR_EX+IN  0.0677067  0.0660068  0.283307  0.208522  0.157232  0.109278  0.0135575  0.136151  -0.0387319  0.1  
TIPS-CFR_EX+IN  0.0650316  0.0626212  0.365737  0.240647  0.14896  0.23481  0.0167621  0.111156  -0.0386904  0.1  
BR  0.18517  0.188269  0.932109  0.258333  0.202199  0.271813  0.172517  0.498136  0.17786  0.281777  
t = 16
CFR  0.0637239  0.055622  0.0714429  0.219403  0.093076  0.0396289  0.0758254  0.0814529  -0.0127755  0.1  
CFR_EX+IN  0.0611021  0.0764858  0.139577  0.226937  0.0891205  0.0420042  0.0575952  0.076232  0.0373694  0.1  
CFR_IN  0.0576609  0.0790484  0.105842  0.23443  0.0856048  0.0468804  0.0332065  0.0581445  0.138181  0.1  
A-CFR_IN  0.0620363  0.0706555  0.0262547  0.1  0.0770543  0.084011  0.0561687  0.0792521  -0.054167  0.0390137  
BPS-CFR  0.0604499  0.0540394  0.0509367  0.22456  0.0879232  0.087225  0.0752098  0.151415  -0.0180134  0.1  
TIPS-CFR  0.0563746  0.0930791  -0.100219  0.221211  0.0846462  0.134848  0.0494226  0.190097  0.0398442  0.146512  
CSPS-CFR  0.0571442  0.0737683  -0.0988423  0.253789  0.0850434  0.149369  0.0336983  0.195833  0.0468474  0.121155  
CFPS-CFR  0.0572536  0.0789859  0.0482968  0.231111  0.0853122  0.0835004  0.0323464  0.163921  0.138023  0.1  
CFPS-CFR_EX+IN  0.0578145  0.073509  0.114158  0.23185  0.0870177  0.0869419  0.0527061  0.145945  0.0336843  0.1  
TIPS-CFR_EX+IN  0.0559021  0.0790172  0.0865083  0.231381  0.0815612  0.134385  0.0486546  0.306968  0.0309438  0.1  
BR  0.185422  0.186113  0.581946  0.258333  0.184959  0.301745  0.166476  0.629861  0.146326  0.281777  
t = 17
CFR  0.0686683  0.0780001  0.132421  0.238906  0.100156  0.0549193  0.0918667  0.1174  0.019419  0.0992039  
CFR_EX+IN  0.0672548  0.0809091  0.138614  0.246244  0.0940653  0.0518387  0.0653042  0.113182  0.0936233  0.0974894  
CFR_IN  0.0651561  0.0841386  0.123783  0.252745  0.0895663  0.0297573  0.0599786  0.22366  0.0930165  0.0919574  
A-CFR_IN  0.0673501  0.0632111  0.297588  0.1  0.0774175  0.0770314  0.06287  0.0853822  -0.0379855  0.0919398  
BPS-CFR  0.0668558  0.0839355  0.104999  0.243021  0.0936582  0.11448  0.0918428  0.227188  0.0100733  0.0972186  
TIPS-CFR  0.0637904  0.116689  0.00580401  0.216504  0.0913515  0.145867  0.0786073  0.177237  0.0824171  0.167482  
CSPS-CFR  0.064094  0.102778  -0.000386279  0.257802  0.0909058  0.16238  0.075953  0.177455  0.0966282  0.159565  
CFPS-CFR  0.0640112  0.0838091  0.0721864  0.252103  0.0899199  0.109431  0.0627233  0.181055  0.0926964  0.105898  
CFPS-CFR_EX+IN  0.0650894  0.0785444  0.131095  0.249783  0.0906256  0.114143  0.0653824  0.203575  0.0880829  0.0955574  
TIPS-CFR_EX+IN  0.063357  0.104991  0.091741  0.237723  0.0856903  0.23972  0.0760864  0.282046  0.0826693  0.117027  
BR  0.181013  0.182203  0.572656  0.258333  0.181605  0.412292  0.202007  0.733521  0.183149  0.345443  
t = 18
CFR  0.0718806  0.0663722  0.139504  0.250944  0.1  0.0777416  0.09867  0.256983  0.0871628  0.0851893  
CFR_EX+IN  0.0713561  0.0699208  0.126189  0.255362  0.0996262  0.0681114  0.0938695  0.285942  0.0962814  0.0824109  
CFR_IN  0.0703598  0.0777523  0.113297  0.258333  0.0961825  0.0398525  0.0983036  0.249545  0.0911533  0.0971496  
A-CFR_IN  0.0721683  0.00693308  0.336999  0.1  0.0779084  0.0836073  0.0946336  0.268129  0.0850133  0.104616  
BPS-CFR  0.0709097  0.0745351  0.114865  0.25403  0.1  0.172524  0.0983561  0.182469  0.0761432  0.0822992  
TIPS-CFR  0.0690071  0.100843  0.127885  0.258333  0.1  0.165725  0.119421  0.1304  0.0949993  0.141195  
CSPS-CFR  0.0690484  0.0869599  0.022108  0.255281  0.1  0.196795  0.101773  0.123773  0.0953804  0.157189  
CFPS-CFR  0.0689707  0.0776784  0.10985  0.258333  0.0983145  0.165525  0.114627  0.145657  0.0905869  0.109837  
CFPS-CFR_EX+IN  0.070124  0.0714829  0.102993  0.25668  0.0969612  0.160447  0.0942063  0.245551  0.0879042  0.0838694  
TIPS-CFR_EX+IN  0.0685652  0.0848621  -0.0216271  0.257951  0.0909803  0.247403  0.0973512  0.0236017  0.0803075  0.121  
BR  0.179357  0.218575  0.378537  0.258333  0.177248  0.563294  0.241345  0.579022  0.18421  0.278812  
t = 19
