learner/env  CFR  CFR_EX+IN  CFR_IN  A-EFR_IN  BPS-EFR  TIPS-EFR  CSPS-EFR  CFPS-EFR  CFPS-EFR_EX+IN  TIPS-EFR_EX+IN  BEHAV-EFR  
t = 0
TIPS-EFR_EX+IN  (0.0670526, 37)  (0.0421118, 60)  (0.343877, 38)  (0.549508, 50)  (0.140494, 53)  (0.392738, 25)  (0.963598, 15)  (0.334452, 37)  (0.000156717, 61)  (-4.33681e-18, 65.5)  (0.140876, 55)  
BEHAV-EFR  (0.550933, 28)  (0.566911, 14)  (-0.0326205, 57)  (0.119312, 63)  (0.556187, 27)  (-0.0345076, 76)  (0.0657778, 70)  (-0.0329028, 60)  (0.573288, 33)  (0.565586, 35)  (3.46945e-18, 77)  
t = 7
CFR  (-8.13152e-18, 26)  (0.50035, 38)  (0.463683, 21)  (0.518874, 27)  (0.123832, 37)  (0.469199, 41)  (1, 8)  (0.442037, 19)  (0.220527, 41)  (0.242941, 55)  (0.444878, 43)  
CFR_EX+IN  (0.690966, 27)  (-5.20417e-18, 53.5)  (0.332967, 38)  (0.192706, 39)  (0.909517, 12)  (0.435022, 30)  (1, 8)  (0.351822, 37)  (0.51427, 70)  (0.396785, 71)  (0.241078, 35)  
CFR_IN  (0.569008, 3)  (0.54836, 41)  (3.90313e-18, 63)  (0.304317, 61)  (0.611561, 6)  (0.00292012, 79)  (0.268653, 66)  (0.000333188, 64)  (0.595881, 55)  (0.623607, 62)  (0.112373, 78)  
A-EFR_IN  (0.530898, 13)  (0.254391, 54)  (0.285972, 49)  (-3.90313e-18, 61)  (0.40756, 37)  (0.18084, 62)  (0.174086, 63)  (0.247607, 60)  (0.289595, 55)  (0.288581, 54)  (0.173808, 62)  
BPS-EFR  (0.148512, 27)  (0.678145, 49)  (0.483567, 39)  (0.520808, 39)  (4.33681e-18, 53)  (0.487847, 46)  (1, 12)  (0.455073, 20)  (0.636879, 56)  (0.606515, 66)  (0.406522, 46)  
TIPS-EFR  (0.582604, 3)  (0.637665, 43)  (0.0226482, 62)  (0.241757, 58)  (0.61924, 5)  (-9.97466e-18, 72.5)  (0.254714, 61)  (0.0121617, 63)  (0.601275, 48)  (0.623919, 60)  (0.115956, 78)  
CSPS-EFR  (0.95029, 7)  (0.949366, 21)  (0.415317, 38)  (0.174367, 48)  (0.956778, 11)  (0.291689, 67)  (-5.20417e-18, 70)  (0.341513, 52)  (0.952904, 35)  (0.931697, 40)  (0.049885, 70)  
CFPS-EFR  (0.571823, 3)  (0.685031, 44)  (0.00692374, 64)  (0.290898, 55)  (0.609953, 5)  (0.00670927, 76)  (0.271257, 58)  (-1.73472e-18, 68)  (0.761773, 56)  (0.803657, 61)  (0.101309, 77)  
CFPS-EFR_EX+IN  (0.18196, 27)  (0.419029, 49)  (0.348986, 35)  (0.233876, 40)  (0.825107, 19)  (0.408495, 47)  (1, 17)  (0.366204, 36)  (8.23994e-18, 61.5)  (0.0258328, 69)  (0.276307, 36)  
TIPS-EFR_EX+IN  (0.25445, 27)  (0.350937, 54)  (0.368927, 35)  (0.284603, 41)  (0.794263, 21)  (0.418602, 49)  (1, 23)  (0.375507, 25)  (0.014431, 66)  (-1.73472e-18, 63.5)  (0.261557, 23)  
BEHAV-EFR  (0.481827, 12)  (0.592445, 60)  (0.102294, 60)  (0.221716, 57)  (0.469226, 11)  (0.107732, 68)  (0.101472, 71)  (0.0890446, 60)  (0.549725, 55)  (0.496548, 72)  (0, 77.5)  
t = 8
CFR  (4.33681e-18, 26)  (0.790494, 35)  (0.518872, 21)  (0.10368, 26)  (0.536863, 16)  (0.480436, 42)  (1, 14)  (0.467285, 18)  (0.668876, 43)  (0.742321, 55)  (0.566565, 50)  
CFR_EX+IN  (0.956013, 5)  (-1.73472e-17, 48)  (0.386687, 39)  (0.0437124, 29)  (0.982666, 9)  (0.437648, 48)  (1, 20)  (0.40056, 21)  (0.880596, 42)  (0.804383, 55)  (0.45244, 27)  
CFR_IN  (0.729395, 3)  (0.694233, 37)  (5.20417e-18, 58)  (0.35552, 56)  (0.744803, 5)  (0.0224312, 77)  (0.365001, 60)  (0.00450842, 64)  (0.760406, 51)  (0.794164, 69)  (0.285155, 75)  
A-EFR_IN  (0.801206, 8)  (0.316899, 49)  (0.505728, 46)  (-1.73472e-18, 56.5)  (0.526975, 28)  (0.40674, 55)  (0.23111, 62)  (0.420702, 48)  (0.369905, 55)  (0.358859, 59)  (0.166879, 61)  
BPS-EFR  (0.586909, 14)  (0.822136, 48)  (0.551431, 31)  (0.524557, 39)  (-8.67362e-18, 56.5)  (0.513174, 22)  (1, 4)  (0.496807, 19)  (0.821753, 60)  (0.82316, 58)  (0.525808, 35)  
TIPS-EFR  (0.645114, 3)  (0.677617, 42)  (0.0309353, 63)  (0.315698, 53)  (0.677043, 5)  (-1.25767e-17, 73.5)  (0.295061, 60)  (0.0105712, 63)  (0.608136, 52)  (0.619437, 58)  (0.293527, 73)  
CSPS-EFR  (0.95029, 7)  (0.949366, 29)  (0.557939, 36)  (0.231056, 42)  (0.956778, 11)  (0.447843, 61)  (-1.56125e-17, 70.5)  (0.481825, 51)  (0.952904, 25)  (0.931801, 41)  (0.0463223, 69)  
CFPS-EFR  (0.657035, 3)  (0.712743, 41)  (0.0259401, 57)  (0.35625, 48)  (0.697167, 6)  (0.029009, 73)  (0.353304, 57)  (0, 60)  (0.885852, 56)  (0.914386, 58)  (0.259675, 77)  
CFPS-EFR_EX+IN  (0.785431, 8)  (0.790233, 50)  (0.424185, 35)  (0.0813398, 35)  (0.952185, 8)  (0.409652, 59)  (1, 14)  (0.409273, 38)  (2.42861e-17, 69)  (0.0952684, 66)  (0.47112, 55)  
TIPS-EFR_EX+IN  (0.871385, 6)  (0.725475, 53)  (0.466865, 39)  (0.10663, 20)  (0.955308, 8)  (0.417211, 54)  (1, 9)  (0.417969, 16)  (0.129146, 65)  (-3.46945e-18, 69.5)  (0.422324, 17)  
BEHAV-EFR  (0.426524, 11)  (0.501981, 40)  (0.286263, 49)  (0.277521, 55)  (0.414668, 10)  (0.269869, 68)  (0.153356, 69)  (0.223204, 61)  (0.419827, 49)  (0.368395, 63)  (-3.90313e-18, 67.5)  
t = 9
CFR  (1.38778e-17, 27)  (0.816398, 30)  (0.562935, 30)  (-0.144336, 10)  (0.969281, 7)  (0.475907, 19)  (1, 4)  (0.51512, 17)  (0.78112, 43)  (0.810792, 57)  (0.600375, 45)  
