learner/env  CFR  CFR_EX+IN  CFR_IN  A-EFR_IN  BPS-EFR  TIPS-EFR  CSPS-EFR  CFPS-EFR  CFPS-EFR_EX+IN  TIPS-EFR_EX+IN  BEHAV-EFR  
t = 0
CFR  (-12.3294, 467)  (-12.3294, 242)  (-12.3294, 259)  (-12.3294, 266)  (-12.3294, 297)  (-12.3294, 287)  (-12.3294, 287)  (-12.3294, 302)  (-12.3294, 311)  (-12.3294, 314)  (-12.3294, 327)  
BPS-EFR  (20.4372, 14)  (20.4912, 42)  (20.5015, 37)  (20.5439, 38)  (20.441, 15)  (20.5617, 41)  (20.5117, 42)  (20.562, 40)  (20.4942, 41)  (20.4936, 41)  (20.5586, 45)  
TIPS-EFR  (20.4952, 19)  (20.5405, 50)  (20.5854, 46)  (20.6086, 46)  (20.5002, 19)  (20.6222, 49)  (20.6135, 49)  (20.6222, 49)  (20.5422, 50)  (20.5416, 49)  (20.6117, 51)  
CSPS-EFR  (20.4982, 18)  (20.5405, 49)  (20.5642, 45)  (20.5787, 46)  (20.5002, 19)  (20.6036, 49)  (20.6146, 49)  (20.6037, 48)  (20.5422, 48)  (20.5416, 48)  (20.6077, 51)  
CFPS-EFR  (20.4982, 18)  (20.5405, 49)  (20.5853, 44)  (20.6038, 46)  (20.5002, 19)  (20.6222, 49)  (20.6135, 49)  (20.6222, 47)  (20.5422, 48)  (20.5416, 48)  (20.6117, 51)  
CFPS-EFR_EX+IN  (20.4678, 18)  (20.5216, 48)  (20.5234, 44)  (20.5716, 46)  (20.4711, 20)  (20.5833, 50)  (20.5534, 50)  (20.5835, 48)  (20.5248, 49)  (20.5242, 49)  (20.5777, 51)  
TIPS-EFR_EX+IN  (20.4673, 19)  (20.521, 51)  (20.5224, 47)  (20.5712, 47)  (20.4706, 20)  (20.5827, 50)  (20.5529, 51)  (20.5829, 50)  (20.5243, 50)  (20.5237, 50)  (20.5772, 53)  
BEHAV-EFR  (20.484, 19)  (20.536, 49)  (20.5808, 46)  (20.5909, 47)  (20.4951, 20)  (20.5686, 50)  (20.6134, 50)  (20.5948, 49)  (20.5422, 50)  (20.5416, 49)  (20.6009, 53)  
BR  (20.5155, 9)  (20.577, 25)  (20.622, 22)  (20.6316, 23)  (20.5175, 10)  (20.6405, 26)  (20.6475, 26)  (20.6405, 25)  (20.5787, 25)  (20.5781, 26)  (20.632, 28)  
t = 8
CFR  (20.5423, 14)  (20.5523, 37)  (20.5786, 39)  (20.595, 37)  (20.5447, 15)  (20.6186, 38)  (20.5807, 42)  (20.6187, 41)  (20.5552, 41)  (20.5546, 38)  (20.6046, 43)  
CFR_EX+IN  (20.5477, 18)  (20.5569, 45)  (20.5977, 47)  (20.6091, 45)  (20.5505, 19)  (20.6245, 45)  (20.5999, 49)  (20.6245, 46)  (20.5599, 47)  (20.5592, 44)  (20.6161, 50)  
CFR_IN  (20.5567, 18)  (20.5673, 43)  (20.6216, 45)  (20.6343, 45)  (20.5606, 19)  (20.6396, 45)  (20.6293, 49)  (20.6397, 47)  (20.5694, 48)  (20.5688, 45)  (20.6432, 50)  
A-EFR_IN  (20.5567, 17)  (20.5673, 41)  (20.592, 43)  (20.6242, 42)  (20.5606, 18)  (20.6297, 43)  (20.6085, 46)  (20.6297, 45)  (20.5694, 45)  (20.5688, 43)  (20.6347, 48)  
BPS-EFR  (20.5424, 13)  (20.5523, 38)  (20.5859, 40)  (20.6048, 38)  (20.5449, 15)  (20.6189, 38)  (20.5762, 42)  (20.6189, 40)  (20.5552, 40)  (20.5546, 38)  (20.6114, 42)  
TIPS-EFR  (20.5567, 18)  (20.5673, 45)  (20.6216, 47)  (20.6343, 46)  (20.5606, 20)  (20.6396, 47)  (20.6293, 50)  (20.6397, 49)  (20.5694, 49)  (20.5688, 47)  (20.6448, 51)  
CSPS-EFR  (20.5524, 18)  (20.5666, 44)  (20.6214, 46)  (20.6214, 45)  (20.5594, 19)  (20.6332, 46)  (20.6329, 49)  (20.6333, 47)  (20.569, 48)  (20.5684, 45)  (20.6352, 51)  
CFPS-EFR  (20.5567, 18)  (20.5673, 66)  (20.6216, 46)  (20.6343, 44)  (20.5606, 19)  (20.6396, 45)  (20.6293, 50)  (20.6397, 47)  (20.5694, 47)  (20.5688, 45)  (20.6448, 50)  
CFPS-EFR_EX+IN  (20.5478, 18)  (20.5569, 48)  (20.5998, 47)  (20.6152, 45)  (20.5505, 19)  (20.6246, 46)  (20.5966, 50)  (20.6246, 48)  (20.5599, 49)  (20.5593, 46)  (20.6219, 51)  
TIPS-EFR_EX+IN  (20.5473, 36)  (20.5564, 49)  (20.5992, 49)  (20.6154, 46)  (20.55, 21)  (20.6238, 47)  (20.5959, 51)  (20.6238, 49)  (20.5593, 49)  (20.5587, 47)  (20.6212, 52)  
BEHAV-EFR  (20.5508, 22)  (20.5673, 48)  (20.5949, 48)  (20.6253, 46)  (20.5606, 20)  (20.6396, 46)  (20.6291, 51)  (20.6397, 49)  (20.5694, 49)  (20.5688, 46)  (20.6448, 52)  
