learner/env  CFR  CFR_EX+IN  CFR_IN  A-EFR_IN  BPS-EFR  TIPS-EFR  CSPS-EFR  CFPS-EFR  CFPS-EFR_EX+IN  TIPS-EFR_EX+IN  BEHAV-EFR  
t = 0
TIPS-EFR_EX+IN  (8, 0)  (8, 0)  (9.69729, 0)  (9.69729, 0)  (8, 0)  (9.69729, 0)  (9.69729, 0)  (9.69729, 0)  (8, 0)  (8, 0)  (9.69729, 0)  
BEHAV-EFR  (8, 0)  (8, 0)  (9.77658, 0)  (9.77658, 0)  (8, 0)  (9.77658, 0)  (9.77658, 0)  (9.77658, 0)  (8, 0)  (8, 0)  (9.77658, 0)  
BR  (8, 0)  (8, 0)  (9.88829, 0)  (9.88829, 0)  (8, 0)  (9.88829, 0)  (9.88829, 0)  (9.88829, 0)  (8, 0)  (8, 0)  (9.88829, 0)  
t = 10
CFR  (8, 0)  (8, 0)  (9.93043, 0)  (9.93043, 0)  (8, 0)  (9.93043, 0)  (9.93043, 0)  (9.93043, 0)  (8, 0)  (8, 0)  (9.93043, 0)  
CFR_EX+IN  (8, 0)  (8, 0)  (9.97005, 0)  (9.97005, 0)  (8, 0)  (9.97005, 0)  (9.97005, 0)  (9.97005, 0)  (8, 0)  (8, 0)  (9.97005, 0)  
CFR_IN  (8, 0)  (8, 0)  (10, 0)  (10, 0)  (8, 0)  (10, 0)  (10, 0)  (10, 0)  (8, 0)  (8, 0)  (10, 0)  
A-EFR_IN  (8, 0)  (8, 0)  (10, 0)  (10, 0)  (8, 0)  (10, 0)  (10, 0)  (10, 0)  (8, 0)  (8, 0)  (10, 0)  
BPS-EFR  (8, 0)  (8, 0)  (9.93043, 0)  (9.93043, 0)  (8, 0)  (9.93043, 0)  (9.93043, 0)  (9.93043, 0)  (8, 0)  (8, 0)  (9.93043, 0)  
TIPS-EFR  (8, 0)  (8, 0)  (10, 0)  (10, 0)  (8, 0)  (10, 0)  (10, 0)  (10, 0)  (8, 0)  (8, 0)  (10, 0)  
CSPS-EFR  (8, 0)  (8, 0)  (10, 0)  (10, 0)  (8, 0)  (10, 0)  (10, 0)  (10, 0)  (8, 0)  (8, 0)  (10, 0)  
CFPS-EFR  (8, 0)  (8, 0)  (10, 0)  (10, 0)  (8, 0)  (10, 0)  (10, 0)  (10, 0)  (8, 0)  (8, 0)  (10, 0)  
CFPS-EFR_EX+IN  (8, 0)  (8, 0)  (9.97005, 0)  (9.97005, 0)  (8, 0)  (9.97005, 0)  (9.97005, 0)  (9.97005, 0)  (8, 0)  (8, 0)  (9.97005, 0)  
TIPS-EFR_EX+IN  (8, 0)  (8, 0)  (9.97005, 0)  (9.97005, 0)  (8, 0)  (9.97005, 0)  (9.97005, 0)  (9.97005, 0)  (8, 0)  (8, 0)  (9.97005, 0)  
BEHAV-EFR  (8, 0)  (8, 0)  (10, 0)  (10, 0)  (8, 0)  (10, 0)  (10, 0)  (10, 0)  (8, 0)  (8, 0)  (10, 0)  
BR  (8, 0)  (8, 0)  (10, 0)  (10, 0)  (8, 0)  (10, 0)  (10, 0)  (10, 0)  (8, 0)  (8, 0)  (10, 0)  
t = 11
CFR  (8, 0)  (8, 0)  (10, 0)  (10, 0)  (8, 0)  (10, 0)  (10, 0)  (10, 0)  (8, 0)  (8, 0)  (10, 0)  
CFR_EX+IN  (8, 0)  (8, 0)  (10, 0)  (10, 0)  (8, 0)  (10, 0)  (10, 0)  (10, 0)  (8, 0)  (8, 0)  (10, 0)  
CFR_IN  (8, 0)  (8, 0)  (10, 0)  (10, 0)  (8, 0)  (10, 0)  (10, 0)  (10, 0)  (8, 0)  (8, 0)  (10, 0)  
A-EFR_IN  (8, 0)  (8, 0)  (10, 0)  (10, 0)  (8, 0)  (10, 0)  (10, 0)  (10, 0)  (8, 0)  (8, 0)  (10, 0)  
BPS-EFR  (8, 0)  (8, 0)  (10, 0)  (10, 0)  (8, 0)  (10, 0)  (10, 0)  (10, 0)  (8, 0)  (8, 0)  (10, 0)  
TIPS-EFR  (8, 0)  (8, 0)  (10, 0)  (10, 0)  (8, 0)  (10, 0)  (10, 0)  (10, 0)  (8, 0)  (8, 0)  (10, 0)  
