learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  
TIPS-CFR_EX+IN  0.123333  0.209079  0.0565306  0.136735  0.168316  0.113604  0.154009  -0.0992501  0.158426  0.147108  
BR  0.338011  0.523002  0.466229  0.342478  0.503379  0.414193  0.382164  0.140812  0.425932  0.412778  
t = 13
CFR  0.121915  0.173764  0.158774  0.160391  0.185157  -0.154743  0.120512  -0.19225  0.142326  0.176243  
CFR_EX+IN  0.115082  0.188456  0.161297  0.134563  0.249199  -0.113702  0.114821  -0.124193  0.103554  0.183752  
CFR_IN  0.126561  0.233607  0.142886  0.11704  0.163146  -0.075731  0.105337  -0.0999239  0.35006  0.184524  
A-CFR_IN  0.00875918  0.175616  0.20643  0.145809  0.256038  -0.0972858  0.152074  -0.123413  0.235628  0.277777  
BPS-CFR  0.123308  0.145445  0.170304  0.159219  0.170249  -0.149625  0.12603  -0.187149  0.0531413  0.164365  
TIPS-CFR  0.167842  0.204813  0.135931  0.142456  0.0710508  -0.0647503  0.096117  -0.111558  0.328084  0.266485  
CSPS-CFR  0.136154  0.198594  0.153814  0.139192  0.250049  -0.118653  0.143784  -0.130683  0.0899765  0.177596  
CFPS-CFR  0.151223  0.189574  0.129838  0.11704  0.218969  -0.0692962  0.0962333  -0.111734  0.335309  0.264191  
CFPS-CFR_EX+IN  0.107128  0.173401  0.17737  0.131031  0.245382  -0.111552  0.122422  -0.123308  0.0780408  0.171186  
TIPS-CFR_EX+IN  0.119694  0.21423  0.17425  0.135067  0.259745  -0.110989  0.15199  -0.122671  0.119822  0.182586  
BR  0.383726  0.520112  0.484452  0.353497  0.561453  0.146362  0.38877  0.0751994  0.418285  0.438976  
t = 14
CFR  0.140234  0.214037  0.181212  0.14621  0.205407  -0.175223  0.128409  -0.100864  0.060157  0.0415511  
CFR_EX+IN  0.129751  0.221951  0.213697  0.12932  0.283509  -0.110588  0.128964  -0.0891907  0.0511394  0.0456478  
CFR_IN  0.139297  0.281661  0.176388  0.144737  0.310158  -0.104606  0.101457  -0.114188  0.215701  0.0816786  
A-CFR_IN  0.116853  0.189224  0.246155  0.159839  0.329154  -0.101542  0.153864  -0.129438  0.124211  0.207028  
BPS-CFR  0.148322  0.201468  0.19076  0.15511  0.199187  -0.171792  0.119569  -0.0961209  -0.0802363  0.0390176  
TIPS-CFR  0.192172  0.236374  0.19428  0.15166  0.298507  -0.106234  0.0909741  -0.125356  0.19979  0.216804  
CSPS-CFR  0.156678  0.229818  0.218858  0.145716  0.285652  -0.116111  0.159436  -0.0887456  0.0636912  0.15336  
CFPS-CFR  0.180041  0.191443  0.189304  0.13717  0.302056  -0.106954  0.0759295  -0.127474  0.202246  0.206278  
CFPS-CFR_EX+IN  0.150229  0.227149  0.226436  0.124798  0.296991  -0.108008  0.122178  -0.0880224  0.0291479  0.122207  
TIPS-CFR_EX+IN  0.15612  0.249863  0.221975  0.128813  0.295087  -0.106701  0.163737  -0.08471  0.0503758  0.132823  
