learner/env  CFR  A-CFR  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  IPS-CFR  PI  greed_punisher  FP  
PI  0.125989  0.215334  0.126247  0.215405  0.162199  0.157214  0.157214  -3.1225e-17  -0.655208  0.21875  
greed_punisher  -0.295225  -0.25381  -0.283942  -0.170624  0.00751297  0.0075921  0.0075921  0.711979  -5.86337e-16  0.208333  
FP  -0.0818737  -0.103686  -0.0812222  -0.103758  0.109343  0.104888  0.104888  0.244792  0.175  -1.66533e-16  
BR  0.135011  0.215334  0.132554  0.215405  0.34046  0.337597  0.337597  0.711979  0.452083  0.2875  
t = 12
CFR  -6.59195e-17  0.0832409  6.21031e-16  0.0832264  0.0197435  0.022266  0.022266  0.460331  0.323028  0.0310983  
A-CFR  0.0534131  2.77556e-17  0.0539186  4.44089e-16  0.00319652  0.0042232  0.0042232  0.451523  0.334981  0.0549378  
CFR_IN  -2.77556e-17  0.0832409  4.26742e-16  0.0832264  0.0197435  0.022266  0.022266  0.460331  0.323028  0.0310983  
A-CFR_IN  0.0534131  -9.71445e-17  0.0539186  3.88578e-16  0.00319652  0.0042232  0.0042232  0.451523  0.334981  0.0549378  
BPS-CFR  0.0480971  0.000821423  0.0482508  0.000640053  5.27356e-16  -0.000414607  -0.000414607  0.461139  0.328164  0.0313896  
TIPS-CFR  0.0453115  0.00101021  0.0454073  0.000700989  0.000272501  4.30211e-16  4.16334e-16  0.464697  0.328282  0.0310826  
IPS-CFR  0.0453115  0.00101021  0.0454073  0.000700989  0.000272501  4.23273e-16  3.60822e-16  0.464697  0.328282  0.0310826  
PI  0.156129  0.0838803  0.155049  0.0958643  0.298612  0.301905  0.301905  4.996e-16  -0.691667  0.275  
greed_punisher  -0.164646  -0.0210683  -0.163944  0.0955103  -0.185618  -0.175213  -0.175213  0.913542  -7.97973e-16  0.0395833  
FP  -0.0890891  0.0437225  -0.0885001  0.0431975  0.0510803  0.0525076  0.0525076  0.401042  0.294792  4.996e-16  
BR  0.172247  0.305118  0.17028  0.304912  0.306421  0.31118  0.31118  0.913542  0.535417  0.470833  
t = 13
CFR  -1.40513e-16  0.0260841  7.25114e-16  0.0266384  -0.0085329  -0.00887967  -0.00887967  0.808563  0.15736  -0.0669439  
A-CFR  0.019666  -2.34188e-16  0.020394  3.31332e-16  0.0347158  0.0356464  0.0356464  0.794264  0.160023  -0.038161  
CFR_IN  3.19189e-16  0.0260841  5.70724e-16  0.0266384  -0.0085329  -0.00887967  -0.00887967  0.808563  0.15736  -0.0669439  
A-CFR_IN  0.019666  -1.47451e-16  0.020394  3.43475e-16  0.0347158  0.0356464  0.0356464  0.794264  0.160023  -0.038161  
BPS-CFR  0.019666  0.0114383  0.020394  0.0114613  4.51028e-16  -0.00130522  -0.00130522  0.808705  0.15356  -0.0634202  
TIPS-CFR  0.019666  0.010123  0.020394  0.0101841  0.00104606  2.6975e-16  3.19189e-16  0.808752  0.152723  -0.0634202  
IPS-CFR  0.019666  0.010123  0.020394  0.0101841  0.00104606  2.64545e-16  3.19189e-16  0.808752  0.152723  -0.0634202  
PI  0.256864  0.116977  0.254147  0.188215  0.292166  0.2971  0.2971  1.38778e-16  -0.696354  0.28125  
greed_punisher  0.0434398  -0.156455  0.0296278  -0.0991618  -0.229825  -0.221711  -0.221711  0.965625  -4.33681e-16  -0.09375  
FP  -0.114715  0.0574545  -0.114143  0.0578142  0.0704157  0.0711623  0.0711623  0.719792  0.271354  -1.73472e-18  
BR  0.285019  0.233078  0.283116  0.233488  0.350859  0.356512  0.356512  0.965625  0.446354  0.44375  
t = 14
CFR  1.19262e-16  -0.0373719  5.17381e-16  -0.0372893  -0.0023299  -0.00198991  -0.00198991  0.185928  0.480962  -0.030685  
A-CFR  0.00303611  -1.66533e-16  0.00304075  4.02456e-16  0.00771877  0.00674442  0.00674442  0.184228  0.474676  0.00653864  
CFR_IN  1.34875e-16  -0.0373719  3.18322e-16  -0.0372893  -0.0023299  -0.00198991  -0.00198991  0.185928  0.480962  -0.030685  
A-CFR_IN  0.00303611  1.52656e-16  0.00304075  3.46945e-16  0.00771877  0.00674442  0.00674442  0.184228  0.474676  0.00653864  
