learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  
CSPS-CFR  0.650839  1.24376  2.22935  0.778106  1.84582  1.57642  1.48726  2.55872  1.94516  1.80663  
CFPS-CFR  0.765434  1.06628  2.14417  0.764161  1.92921  1.42447  1.34763  2.45612  1.79024  1.76995  
CFPS-CFR_EX+IN  1.15446  1.05981  2.47972  0.815695  1.74984  1.4851  1.3767  2.60888  1.86514  1.59498  
TIPS-CFR_EX+IN  1.06181  0.978835  2.52014  0.815695  1.86372  1.53091  1.36918  2.60079  1.75722  1.57278  
BR  1.91093  1.49073  3.11522  0.815695  2.16181  2.02926  2.0074  2.99908  2.5683  2.06853  
t = 13
CFR  1.13652  1.09897  2.42349  0.815695  1.31428  1.36632  1.53614  2.34095  1.41357  1.47391  
CFR_EX+IN  1.14247  1.08247  2.42373  0.815695  1.42334  1.37075  1.58435  2.34164  1.52273  1.55233  
CFR_IN  1.16507  1.06832  2.30755  0.815695  1.72057  1.34938  1.41636  2.36953  1.69397  1.7454  
A-CFR_IN  1.28245  1.01187  1.77687  0.296  1.56258  1.26301  1.48761  2.06778  1.64836  1.407  
BPS-CFR  1.11514  1.02675  2.34062  0.815695  1.48796  1.35139  1.52158  2.31853  1.54526  1.61016  
TIPS-CFR  1.40647  0.968723  2.29129  0.50048  1.28168  1.28366  1.40249  2.47463  1.73748  1.64411  
CSPS-CFR  1.3046  1.19204  2.58664  0.796674  1.65404  1.28462  1.48355  2.46976  1.66367  1.77632  
CFPS-CFR  1.16485  1.14609  2.29627  0.815584  1.68844  1.33773  1.38916  2.35271  1.75197  1.42954  
CFPS-CFR_EX+IN  1.12564  1.05307  2.33518  0.815695  1.55925  1.35746  1.56655  2.3448  1.64997  1.60772  
TIPS-CFR_EX+IN  1.17873  0.992345  2.40677  0.815695  1.5081  1.3767  1.58779  2.3333  1.60496  1.57304  
BR  1.59325  1.62418  3.15468  0.815695  2.128  1.91807  2.12955  2.88143  2.20633  2.2087  
t = 14
CFR  1.14832  0.989467  2.35192  0.815695  1.021  1.47446  1.72833  2.38066  1.15944  1.34753  
CFR_EX+IN  1.16379  0.988868  2.35391  0.815695  1.15856  1.48345  1.71663  2.38176  1.08855  1.35503  
CFR_IN  1.20082  1.03372  2.30213  0.815696  1.2966  1.44341  1.60238  2.40973  0.961485  1.35407  
A-CFR_IN  1.3563  1.12551  2.05935  0.296  1.19322  1.32456  1.46427  2.10013  0.938254  1.05531  
BPS-CFR  1.14596  0.977175  2.33312  0.815695  1.35758  1.47836  1.72093  2.3537  1.39386  1.35556  
TIPS-CFR  1.30138  1.23222  2.49655  0.662209  1.3819  1.31602  1.55948  2.44199  0.956573  1.08723  
CSPS-CFR  1.31004  1.30177  2.37094  0.760092  1.33435  1.40609  1.5696  2.37942  1.05441  0.997408  
CFPS-CFR  1.24724  1.14758  2.33677  0.815604  1.27805  1.43653  1.58181  2.37965  0.96148  1.17386  
CFPS-CFR_EX+IN  1.18086  0.993656  2.33357  0.815695  1.47329  1.47493  1.70349  2.35556  1.35362  1.34881  
TIPS-CFR_EX+IN  1.21344  1.0666  2.39157  0.804519  1.38723  1.51873  1.72301  2.32874  1.32375  1.18225  
BR  1.57503  1.5431  2.97544  0.815695  1.90223  2.01431  2.30221  2.92349  2.05047  1.84458  
t = 15
CFR  1.08384  0.797713  1.8471  0.80387  1.3666  1.37094  1.4381  2.25937  1.58703  1.34347  
CFR_EX+IN  1.0987  0.815775  1.84939  0.80387  1.32157  1.37391  1.40993  2.25164  1.52577  1.34033  
CFR_IN  1.06705  0.880589  2.07871  0.75245  1.08423  1.39538  1.3321  2.29258  1.09744  1.34635  
A-CFR_IN  1.28036  0.798252  1.86228  0.293044  1.11436  1.37426  1.38286  1.97804  1.02682  1.05229  
BPS-CFR  1.08748  1.02753  1.82615  0.80387  1.31324  1.3851  1.43283  2.25441  1.50054  1.3392  
TIPS-CFR  1.14185  1.11659  2.13467  0.577994  1.51856  1.31717  1.41517  2.18482  1.30227  1.23236  
CSPS-CFR  1.26477  1.09  1.90365  0.728366  1.17132  1.43787  1.46162  2.17998  1.09907  1.30097  
CFPS-CFR  1.15738  1.05305  2.10291  0.80387  1.08236  1.38832  1.34699  2.26128  0.979106  1.30685  
CFPS-CFR_EX+IN  1.10838  0.823223  1.82567  0.80387  1.3246  1.37059  1.41664  2.24953  1.42804  1.3396  
TIPS-CFR_EX+IN  1.08413  0.841262  1.8329  0.734837  1.32724  1.38998  1.43204  2.2178  1.35045  1.22668  
BR  1.55942  1.32386  2.84792  0.80387  1.99236  2.00729  1.90584  2.86498  2.02698  1.92969  
t = 16
CFR  1.07189  0.774289  2.01863  0.794506  1.47537  1.50187  1.42543  2.20595  1.67522  1.28303  
CFR_EX+IN  1.09241  0.749901  1.96572  0.794506  1.39337  1.50519  1.41615  2.20785  1.62208  1.27899  
CFR_IN  1.14118  0.720203  1.94543  0.794506  1.29085  1.50868  1.49235  2.0567  1.4742  1.30735  
A-CFR_IN  1.24692  0.524923  1.51096  0.290703  1.36483  1.56559  1.40065  1.85192  1.27766  1.05767  
BPS-CFR  1.07914  0.764141  2.17488  0.794506  1.40486  1.50418  1.4252  2.23371  1.57204  1.27655  
TIPS-CFR  1.31885  0.57449  1.75348  0.559527  1.64215  1.40666  1.50926  1.6689  1.51949  1.54085  
CSPS-CFR  1.43776  0.724066  1.83648  0.794486  1.14748  1.56686  1.55838  1.9879  1.14318  1.36613  
CFPS-CFR  1.4396  0.724066  1.80097  0.794506  1.11858  1.50646  1.57386  2.08827  1.11781  1.29624  
CFPS-CFR_EX+IN  1.10827  0.746179  1.96362  0.794506  1.34377  1.5017  1.41763  2.21776  1.52527  1.27818  
TIPS-CFR_EX+IN  1.19768  0.739491  1.96518  0.794506  1.32615  1.48793  1.466  2.13652  1.4647  1.23608  
BR  1.6138  1.55615  2.68016  0.804236  1.95182  2.06992  2.0706  2.74206  1.99054  1.91638  
t = 17
CFR  0.90276  0.799224  2.53786  0.787179  1.57115  1.5796  1.55559  2.36437  1.75087  1.28326  
CFR_EX+IN  0.706211  0.77441  2.38899  0.787179  1.47641  1.57962  1.55572  2.37039  1.72908  1.19646  
CFR_IN  0.721775  0.710123  1.90119  0.787179  1.51347  1.52296  1.68514  2.06791  1.58966  1.1803  
A-CFR_IN  0.457728  0.705651  1.43116  0.288871  1.40773  1.57706  1.46154  1.8898  1.31729  1.24024  
BPS-CFR  0.906653  0.791901  2.38919  0.787179  1.45795  1.58323  1.5547  2.37171  1.67127  1.26804  
TIPS-CFR  0.721703  0.702711  1.56945  0.727351  1.68611  1.44675  1.70331  1.83142  1.57905  1.43146  
CSPS-CFR  0.777011  0.754069  1.96442  0.787179  1.47343  1.56369  1.60473  1.62339  1.47473  1.31955  
