learner/env  CFR  CFR_EX+IN  CFR_IN  A-EFR_IN  BPS-EFR  TIPS-EFR  CSPS-EFR  CFPS-EFR  CFPS-EFR_EX+IN  TIPS-EFR_EX+IN  BEHAV-EFR  
t = 0
TIPS-EFR_EX+IN  (0.201747, 6)  (0.134474, 6)  (0.0839574, 11)  (2.13079, 8)  (0.0312024, 8)  (-0.150125, 13)  (0.0112001, 12)  (-0.144889, 11)  (-0.000477411, 9)  (1.11022e-16, 10)  (0.26973, 13)  
BEHAV-EFR  (0.35717, 6)  (0.16689, 6)  (0.34531, 11)  (2.15386, 7)  (0.266418, 8)  (0.146895, 12)  (0.0125581, 11)  (0.164272, 11)  (0.193758, 9)  (0.0976223, 10)  (0, 13)  
BR  (0.842889, 2)  (0.846062, 2)  (1.36474, 5)  (2.23333, 3)  (0.976322, 3)  (1.41482, 5)  (1.1234, 5)  (1.34733, 5)  (0.936771, 4)  (0.933587, 4)  (2.31075, 6)  
t = 8
CFR  (-1.11022e-16, 5)  (0.00590662, 6)  (-0.193092, 10)  (2.23005, 7)  (-0.00449557, 9)  (-0.193124, 12)  (-0.0860387, 8)  (-0.185681, 11)  (-0.0811513, 8)  (-0.0725923, 11)  (-0.0511656, 11)  
CFR_EX+IN  (-0.0038131, 6)  (0, 6)  (-0.143195, 11)  (2.23005, 8)  (-0.0378232, 10)  (-0.163551, 14)  (-0.0788731, 9)  (-0.144843, 12)  (-0.0966626, 9)  (-0.0734464, 13)  (-0.0667064, 12)  
CFR_IN  (0.0372375, 6)  (0.0456843, 6)  (0, 11)  (2.23005, 7)  (-0.116157, 9)  (-0.103326, 13)  (-0.0453117, 9)  (-0.0765887, 12)  (-0.125166, 9)  (-0.111935, 12)  (-0.371334, 12)  
A-EFR_IN  (0.175535, 5)  (0.177849, 6)  (0.0229901, 10)  (0, 7)  (0.209691, 9)  (0.270692, 13)  (0.373671, 8)  (0.238301, 11)  (0.141217, 8)  (0.0514068, 11)  (-0.0336591, 11)  
BPS-EFR  (0.160413, 5)  (0.150032, 5)  (-0.0381585, 10)  (2.23005, 7)  (0, 9)  (-0.0939168, 12)  (-2.79149e-05, 8)  (-0.0981572, 11)  (0.0502758, 8)  (0.0363598, 11)  (-0.0702818, 11)  
TIPS-EFR  (0.21277, 6)  (0.199287, 6)  (0.230752, 11)  (2.23005, 8)  (0.137401, 10)  (-2.77556e-17, 13)  (0.0231334, 9)  (0.0247741, 12)  (0.122519, 9)  (0.174719, 12)  (-0.0668011, 12)  
